"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01876","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70453.953129999994","NaN","323643.0625","2182193.5","NaN","NaN","NaN","39024.136720000002","NaN","175076.2813","NaN","NaN","NaN","NaN","NaN","NaN","NaN","88496.453129999994","NaN","NaN","NaN","141590.7813","NaN","NaN","NaN","820276.75","NaN","65019.863279999998"
"P01880;P0DOX3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01889","NaN","69495.148440000004","NaN","NaN","54107.402340000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41982.28125","NaN","NaN","43153.664060000003","NaN","22068.605469999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50791.996090000001","NaN"
"P01892","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01903","350877.875","276061.09379999997","NaN","294889.90629999997","274235.90629999997","393240.6875","535390.5625","904338.125","444934.96879999997","831828.8125","673912.75","492532.0625","2128693.5","656638.5625","444425.8125","279057.96879999997","536438","1413937.5","466151.5","620554.25","441597.5625","809729.375","NaN","NaN","86708.734379999994","397041.25","46245.203130000002","NaN","967335.75","NaN","1933657.75","1326084.625","748062.1875","88379.492190000004","197447.45310000001","445940.1875","387875.59379999997"
"P01909","NaN","NaN","NaN","19114.878909999999","NaN","20694.175780000001","92699.929690000004","112707.5313","10887.429690000001","109827.5781","91023.195309999996","23470.76758","NaN","102643.5","46458.941409999999","NaN","42765.070310000003","155502.14060000001","NaN","70678.164059999996","NaN","118613.3438","NaN","NaN","4180.4643550000001","60631.789060000003","NaN","NaN","77368.554690000004","NaN","225127.4063","129812.5781","NaN","NaN","13172.726559999999","NaN","11557.45313"
"P01912;Q5Y7A7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P01920","NaN","11791.54199","NaN","89229.890629999994","NaN","74428.695309999996","125291.97659999999","159176.76560000001","219534.92189999999","120067.875","130407.1563","54645.15625","NaN","153398.70310000001","74841.453129999994","NaN","65197.175779999998","307482.875","240802.8125","83471.28125","68976.515629999994","154999.3125","NaN","NaN","NaN","78769.53125","NaN","NaN","80956.71875","NaN","274975.6875","318494.09379999997","254749.26560000001","NaN","104886.64840000001","NaN","17882.738280000001"
"P02042","140900.1563","NaN","33733.699220000002","4048523.75","NaN","NaN","229323.26560000001","NaN","NaN","215721.3438","NaN","1580682.25","73521576","NaN","53931.007810000003","NaN","344422","NaN","1598651","212651.04689999999","NaN","NaN","NaN","NaN","789749.875","NaN","240167.625","NaN","NaN","42104.980470000002","91003.578129999994","NaN","NaN","NaN","536064.1875","NaN","245519.75"
"P02461","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
